petName,enemyId,templateId,earth,water,fire,wind,initNum,lvupPointSource,baseVital,baseStr,baseTough,baseDex,poisonResist,paralysisResist,sleepResist,stoneResist,drunkResist,confusionResist,critical,counter,lvMin,lvMax,hpMin,hpMax,attackMin,attackMax,defenseMin,defenseMax,agilityMin,agilityMax,skill1,skill2,skill3,skill4,skill5,skill6,skill7,limitLevel,imageId
VIP邦浦洛斯,2573,208,0,0,50,50,40,4.5,27,48,27,37,10,10,10,10,10,10,7,3,1,1,86,109,21,27,13,19,14,19,1,2,651,705,-1,-1,-1,-1,101874
VIP邦浦洛炎,21046,21046,0,0,50,50,32,6,29,45,35,38,10,10,10,10,10,10,7,0,1,1,73,92,16,21,13,18,11,16,1,2,1030,705,-1,-1,-1,-1,131055
VIP邦奇诺,2576,206,0,0,100,0,40,4.5,26,51,23,36,10,10,10,10,10,10,7,3,1,1,84,107,22,28,12,18,13,19,1,2,651,703,-1,-1,-1,-1,101822
VIP邦奇炎,21044,21044,0,0,100,0,42,6,28,51,24,36,10,10,10,10,10,10,7,0,1,1,91,116,23,29,13,19,14,20,1,2,1030,703,-1,-1,-1,-1,131056
VIP贝鲁卡,20000,20000,60,40,0,0,35,4.5,30,44,21,47,30,30,30,30,30,30,7,3,1,1,79,100,17,22,10,15,15,20,1,2,-1,-1,-1,-1,-1,-1,100327
VIP贝鲁卡2D,21018,21018,60,40,0,0,35,6,30,44,21,47,30,30,30,30,30,30,7,3,1,1,79,100,17,22,10,15,15,20,1,2,721,655,-1,-1,-1,-1,130029
VIP贝鲁伊卡,20001,20001,0,0,30,70,34,4.5,28,45,19,49,30,30,30,30,30,30,7,3,1,1,75,94,17,21,9,14,15,20,1,2,-1,-1,-1,-1,-1,-1,100328
VIP贝鲁伊卡2D,21019,21019,0,0,30,70,34,6,28,45,19,49,30,30,30,30,30,30,7,3,1,1,75,94,17,21,9,14,15,20,1,2,721,655,-1,-1,-1,-1,110117
VIP冰象,21037,21037,0,100,0,0,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,110062
VIP布拉奇多斯,20007,20007,0,20,80,0,36,4.5,48,47,48,12,30,30,30,30,30,30,5,2,1,1,106,127,19,25,20,25,3,8,1,2,-1,-1,-1,-1,-1,-1,100353
VIP布林帖斯,20006,20006,30,70,0,0,36,4.5,52,44,50,11,30,30,30,30,30,30,5,2,1,1,111,132,18,24,20,26,3,8,1,2,-1,-1,-1,-1,-1,-1,100352
VIP布鲁顿,2577,207,0,0,0,100,40,4.5,25,44,20,45,10,10,10,10,10,10,7,3,1,1,82,105,19,25,10,16,17,22,1,2,651,704,-1,-1,-1,-1,101823
VIP布鲁炎,21045,21045,0,0,0,100,42,6,26,42,25,47,10,10,10,10,10,10,7,0,1,1,89,114,19,26,13,19,18,24,1,2,1030,704,-1,-1,-1,-1,131054
VIP布洛多斯,20005,20005,90,10,0,0,36,4.5,50,45,52,11,30,30,30,30,30,30,5,2,1,1,109,130,19,24,21,26,3,8,1,2,-1,-1,-1,-1,-1,-1,100351
VIP超梦,21201,21200,70,30,500,500,42,6,32,47,20,55,500,500,500,500,500,500,7,3,1,1,103,127,22,28,12,18,22,28,1,2,542,1059,558,1266,1076,-1,101423
VIP大白虎,21001,21001,50,50,0,0,32,6,28,43,18,52,10,10,10,10,10,10,7,3,1,1,70,89,15,20,8,12,16,20,1,2,-1,-1,-1,-1,-1,-1,131074
VIP朵巴奈,21013,21013,0,100,0,0,36,6,30,43,18,52,40,40,40,40,40,40,7,2,1,1,82,103,17,22,9,14,18,23,1,2,-1,-1,-1,-1,-1,-1,120071
VIP朵拉比斯,20018,20018,0,0,0,100,35,4.5,26,40,20,50,30,30,30,30,30,30,3,5,1,1,73,93,15,20,9,14,16,21,1,2,-1,-1,-1,-1,-1,-1,100362
VIP翡尔翠斯,21049,21049,100,0,0,0,42,6,32,36,18,55,40,40,40,40,40,40,3,7,1,1,97,122,17,23,10,16,22,28,1,2,1073,674,625,1090,1037,-1,131036
VIP格尔格,20012,20012,0,0,90,10,35,4.5,28,40,30,42,30,30,30,30,30,30,3,5,1,1,77,97,16,21,12,17,14,18,1,2,-1,-1,-1,-1,-1,-1,100310
VIP格鲁西斯,20002,20002,0,0,80,20,34,4.5,27,47,17,49,30,30,30,30,30,30,7,3,1,1,73,93,17,22,8,13,15,20,1,2,-1,-1,-1,-1,-1,-1,100329
VIP格鲁西斯2D,21020,21020,0,0,80,20,34,6,27,47,17,49,30,30,30,30,30,30,7,3,1,1,73,93,17,22,8,13,15,20,1,2,721,655,-1,-1,-1,-1,130031
VIP黑机虎,21007,21007,0,0,100,0,36,6,28,43,18,52,10,10,10,10,10,10,7,3,1,1,79,100,17,22,9,14,18,23,1,2,-1,-1,-1,-1,-1,-1,131069
VIP虎王,21067,21067,0,0,90,10,36,4.5,42,36,30,45,40,40,40,40,40,40,3,7,1,1,99,119,15,20,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,110112
VIP虎王,21217,21216,0,100,0,0,36,4.5,38,42,26,42,30,30,30,30,30,30,7,7,1,1,92,113,17,22,12,17,14,19,1,2,-1,-1,-1,-1,-1,-1,128001
VIP霍尔克,20019,20019,30,0,0,70,34,4.5,30,41,21,49,30,30,30,30,30,30,7,2,1,1,77,96,15,20,9,14,15,20,1,2,-1,-1,-1,-1,-1,-1,100369
VIP机鲁斯,21068,21068,0,0,70,30,40,6,28,48,27,38,10,10,10,10,10,10,7,3,1,1,88,111,21,27,13,19,14,20,1,2,1044,791,-1,-1,-1,-1,110128
VIP金格萨贝鲁,20003,20003,30,0,0,70,36,4.5,27,46,19,48,30,30,30,30,30,30,7,3,1,1,78,99,18,23,9,14,16,21,1,2,-1,-1,-1,-1,-1,-1,100330
VIP金格萨贝鲁2D,21021,21021,30,0,0,70,36,6,27,46,18,48,30,30,30,30,30,30,7,3,1,1,77,98,18,23,9,14,16,21,1,2,721,655,-1,-1,-1,-1,130032
VIP咔哇咿淡,21095,21095,0,0,100,0,42,6,32,42,20,55,30,30,30,30,30,30,7,3,1,1,101,125,20,26,11,17,22,28,1,2,1051,1054,-1,-1,-1,-1,131050
VIP咔哇咿哖,21093,21093,100,0,0,0,42,6,32,42,20,55,30,30,30,30,30,30,7,3,1,1,101,125,20,26,11,17,22,28,1,2,1051,1054,-1,-1,-1,-1,131048
VIP咔哇咿若,21096,21096,0,0,0,100,42,6,32,42,20,55,30,30,30,30,30,30,7,3,1,1,101,125,20,26,11,17,22,28,1,2,1051,1054,-1,-1,-1,-1,131000
VIP咔哇咿馨,21094,21094,0,100,0,0,42,6,32,42,20,55,30,30,30,30,30,30,7,3,1,1,101,125,20,26,11,17,22,28,1,2,1051,1054,-1,-1,-1,-1,131049
VIP卡达鲁卡斯,20015,20015,100,0,0,0,35,4.5,46,40,63,10,30,30,30,30,30,30,3,5,1,1,102,122,17,22,24,29,2,7,1,2,-1,-1,-1,-1,-1,-1,100283
VIP卡卡金宝,20017,20017,0,20,80,0,35,4.5,30,45,26,40,30,30,30,30,30,30,3,5,1,1,79,99,17,22,11,16,13,18,1,2,-1,-1,-1,-1,-1,-1,100346
VIP卡卡沃夫,21050,21050,70,0,0,30,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,110016
VIP卡卡沃萨,21028,21028,0,100,0,0,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,110017
VIP卡卡沃炎,21029,21029,0,0,100,0,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,110011
VIP凯恩,21036,21036,0,0,0,100,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,101180
VIP可洛冰刺,21071,21071,0,100,0,0,34,6,26,55,17,47,10,10,10,10,10,10,7,0,1,1,74,94,20,25,8,13,15,20,1,2,1049,1050,-1,-1,-1,-1,128003
VIP可洛恋次,21070,21070,0,0,100,0,34,6,27,48,17,48,30,30,30,30,30,30,7,3,1,1,73,93,17,22,8,13,15,20,1,2,1049,1050,-1,-1,-1,-1,110087
VIP可洛魔刺,21069,21069,0,0,10,90,34,6,26,50,19,48,30,30,30,30,30,30,7,3,1,1,73,93,18,23,9,14,15,20,1,2,1049,1050,-1,-1,-1,-1,110089
VIP克罗那斯,21035,21035,0,0,50,50,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,101488
VIP克洛恩,21023,21023,0,0,100,0,35,6,26,40,20,50,30,30,30,30,30,30,3,5,1,1,73,93,15,20,9,14,16,21,1,2,-1,-1,-1,-1,-1,-1,100899
VIP拉奇鲁哥,20014,20014,0,0,100,0,35,4.5,27,47,21,43,30,30,30,30,30,30,3,5,1,1,75,95,18,23,9,15,14,19,1,2,-1,-1,-1,-1,-1,-1,100279
VIP利则诺顿,2574,204,100,0,0,0,40,4.5,30,46,32,32,10,10,10,10,10,10,7,3,1,1,90,113,20,26,15,21,12,17,1,2,651,701,-1,-1,-1,-1,101820
VIP利则诺炎,21042,21042,100,0,0,0,42,6,30,44,31,32,10,10,10,10,10,10,7,0,1,1,93,118,20,26,15,22,12,18,1,2,1030,701,-1,-1,-1,-1,131057
VIP烈炎马,21010,21010,0,50,50,0,42,6,40,22,50,46,30,30,30,30,30,30,3,3,1,1,115,139,13,19,23,29,18,24,1,2,-1,-1,-1,-1,-1,-1,110138
VIP罗多克雷,20023,20023,80,0,0,20,36,4.5,34,15,48,50,30,30,30,30,30,30,3,3,1,1,88,109,8,13,19,24,17,22,1,2,-1,-1,-1,-1,-1,-1,101576
VIP罗机斯,21100,21100,80,0,0,20,34,6,28,49,18,50,30,30,30,30,30,30,7,3,1,1,76,96,18,23,8,13,16,21,1,2,1057,1045,-1,-1,-1,-1,110126
VIP洛卡伦恩,21016,21016,0,0,100,0,35,6,26,40,20,50,30,30,30,30,30,30,3,5,1,1,73,93,15,20,9,14,16,21,1,2,-1,-1,-1,-1,-1,-1,100360
VIP绿犀牛,21031,21031,80,0,0,20,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,126040
VIP玛恩摩洛斯,20013,20013,0,50,50,0,35,4.5,64,32,52,26,30,30,30,30,30,30,3,5,1,1,126,147,15,20,21,26,8,13,1,2,-1,-1,-1,-1,-1,-1,100358
VIP蒙牛,21074,21074,0,80,20,0,35,4.5,30,44,21,47,30,30,30,30,30,30,7,3,1,1,79,100,17,22,10,15,15,20,1,2,1052,1047,-1,-1,-1,-1,110172
VIP姆伊,21017,21017,0,100,0,0,36,6,36,15,48,50,0,0,0,0,0,0,0,0,1,1,91,111,8,13,19,24,17,22,1,2,110,-1,-1,-1,-1,-1,100348
VIP牧哈卡,21000,21000,60,0,0,40,36,6,32,32,44,30,20,20,20,20,20,20,5,5,1,1,82,103,14,19,17,23,10,15,1,2,-1,-1,-1,-1,-1,-1,110066
VIP佩露普夏,21003,21003,0,100,0,0,42,6,32,36,18,55,40,40,40,40,40,40,3,7,1,1,97,122,17,23,10,16,22,28,1,2,-1,-1,-1,-1,-1,-1,120074
VIP佩露普夏,21006,21006,0,100,0,0,36,6,32,20,40,53,40,40,40,40,40,40,3,7,1,1,85,106,10,15,16,21,18,23,1,2,-1,-1,-1,-1,-1,-1,120074
VIP佩罗斯,21101,21101,0,0,70,30,34,6,27,50,17,50,30,30,30,30,30,30,7,3,1,1,75,94,18,23,8,13,16,21,1,2,1057,1056,-1,-1,-1,-1,110125
VIP奇宝,20020,20020,0,0,80,20,34,4.5,28,44,17,49,30,30,30,30,30,30,7,2,1,1,74,93,16,21,8,13,15,20,1,2,-1,-1,-1,-1,-1,-1,100370
VIP麒麟,21032,21032,20,0,0,80,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,110187
VIP瑞里西尔,20021,20021,60,0,0,40,36,4.5,28,42,18,52,40,40,40,40,40,40,7,2,1,1,79,100,16,22,9,14,18,23,1,2,-1,-1,-1,-1,-1,-1,100904
VIP萨格普鲁,21004,21004,100,0,0,0,42,6,32,36,18,55,40,40,40,40,40,40,3,7,1,1,97,122,17,23,10,16,22,28,1,2,-1,-1,-1,-1,-1,-1,120073
VIP萨乌鲁斯,21038,21038,0,0,50,50,42,6,32,36,18,55,30,30,30,30,30,30,6,1,1,1,97,122,17,23,10,16,22,28,1,2,-1,-1,-1,-1,-1,-1,121105
VIP萨伊西斯,21099,21099,0,30,70,0,42,6,32,36,18,55,40,40,40,40,40,40,3,7,1,1,97,122,17,23,10,16,22,28,1,2,-1,-1,-1,-1,-1,-1,120075
VIP神雕,21030,21030,0,50,50,0,35,6,42,40,30,47,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,110081
VIP圣灵斯,21102,21102,0,100,0,0,36,6,27,48,18,50,30,30,30,30,30,30,7,3,1,1,79,100,19,24,9,14,17,22,1,2,1057,1058,-1,-1,-1,-1,110124
VIP史卡鲁,20022,20022,0,100,0,0,36,4.5,30,44,30,40,30,30,30,30,30,30,5,5,1,1,82,103,18,23,13,18,13,18,1,2,-1,-1,-1,-1,-1,-1,101532
VIP斯巴克,21076,21076,100,0,0,0,36,6,35,50,18,47,30,30,30,30,30,30,7,3,1,1,90,111,20,25,9,14,16,21,1,2,1048,656,-1,-1,-1,-1,126040
VIP斯天多斯,20008,20008,50,50,0,0,36,4.5,52,45,49,12,30,30,30,30,30,30,5,2,1,1,111,132,19,24,20,25,3,8,1,2,-1,-1,-1,-1,-1,-1,100354
VIP帖拉格恩,21024,21024,0,0,20,80,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,100359
VIP帖拉所伊朵,20004,20004,0,0,50,50,36,4.5,32,50,31,33,50,50,50,50,50,50,7,7,1,1,85,106,20,25,13,19,11,16,1,2,-1,-1,-1,-1,-1,-1,100374
VIP帖伊诺斯,2657,1267,0,0,50,50,40,4.5,30,50,25,35,28,28,28,28,28,28,5,5,1,1,90,113,22,27,13,18,13,18,1,2,664,-1,-1,-1,-1,-1,101819
VIP威威,21039,21039,0,0,100,0,42,6,42,40,30,50,30,30,30,30,30,30,6,1,1,1,119,143,20,26,16,22,20,26,1,2,596,-1,-1,-1,-1,-1,100264
VIP乌朵帕奈斯,21022,21022,60,0,0,40,36,6,30,42,18,52,40,40,40,40,40,40,7,7,1,1,82,102,17,22,9,14,18,23,1,2,-1,-1,-1,-1,-1,-1,120079
VIP侠侣,21034,21034,0,100,0,0,35,6,42,40,30,46,30,30,30,30,30,30,6,1,1,1,98,118,16,21,13,18,15,20,1,2,-1,-1,-1,-1,-1,-1,126507
VIP雪尔克,21077,21077,50,50,0,0,34,6,26,46,20,50,10,10,10,10,10,10,7,3,1,1,73,93,17,22,9,14,16,21,1,2,1047,1052,-1,-1,-1,-1,130056
VIP扬奇洛斯,2575,205,0,100,0,0,40,4.5,26,48,24,38,10,10,10,10,10,10,7,3,1,1,84,107,21,26,12,18,14,20,1,2,651,702,-1,-1,-1,-1,101821
VIP扬奇洛斯,20016,20016,0,30,70,0,35,4.5,28,50,24,38,30,30,30,30,30,30,3,5,1,1,77,97,19,24,11,16,12,17,1,2,-1,-1,-1,-1,-1,-1,100288
VIP扬奇洛炎,21043,21043,0,100,0,0,42,6,28,46,24,37,10,10,10,10,10,10,7,0,1,1,90,114,21,27,13,19,14,20,1,2,1030,702,-1,-1,-1,-1,131053
VIP紫格萨贝鲁,21098,21098,30,0,0,70,42,6,32,37,18,55,40,40,40,40,40,40,3,7,1,1,98,122,17,24,10,16,22,28,1,2,-1,-1,-1,-1,-1,-1,120330
VIP左迪卡尔,21005,21005,0,100,0,0,38,6,30,42,18,52,30,30,30,30,30,30,6,1,1,1,86,108,18,23,9,15,19,24,1,2,-1,-1,-1,-1,-1,-1,120072
VIP左迪洛斯,20011,20011,0,80,20,0,35,4.5,32,46,34,33,30,30,30,30,30,30,3,5,1,1,82,103,18,23,14,19,10,15,1,2,-1,-1,-1,-1,-1,-1,100372
阿哥亚,42,61,0,30,70,0,20,4.5,23,22,21,18,0,0,0,0,20,0,0,3,1,1,29,41,5,7,4,7,3,6,100,30,-1,-1,-1,-1,-1,-1,100275
阿哥亚,1203,61,0,30,70,0,20,4.5,23,22,21,18,0,0,0,0,20,0,0,3,1,1,29,41,5,7,4,7,3,6,100,30,-1,-1,-1,-1,-1,-1,100275
阿哥亚,1204,61,0,30,70,0,20,4.5,23,22,21,18,0,0,0,0,20,0,0,3,59,60,375,529,63,101,61,99,40,76,100,30,-1,-1,-1,-1,-1,-1,100275
阿哥亚,1207,61,0,30,70,0,20,4.5,23,22,21,18,0,0,0,0,20,0,0,3,60,61,381,538,64,103,62,101,40,78,100,30,-1,-1,-1,-1,-1,-1,100275
阿哥亚,1210,61,0,30,70,0,20,4.5,23,22,21,18,0,0,0,0,20,0,0,3,61,62,387,546,65,105,63,102,41,79,100,30,-1,-1,-1,-1,-1,-1,100275
阿哥亚,1497,61,0,30,70,0,20,4.5,23,22,21,18,0,0,0,0,20,0,0,3,15,20,113,198,19,38,18,37,12,28,100,30,-1,-1,-1,-1,-1,-1,100275
阿卡西斯,1994,999,0,0,80,20,25,4.5,34,31,26,18,0,0,0,0,0,0,1,1,1,1,51,66,8,12,7,11,4,7,1,2,-1,-1,-1,-1,-1,-1,101454
阿利给洛斯,360,323,50,50,0,0,26,4.5,33,19,25,18,0,0,0,0,0,0,0,5,1,1,49,64,6,9,7,11,4,7,1,2,-1,-1,-1,-1,-1,-1,100381
阿利给洛斯,1179,323,50,50,0,0,26,4.5,33,19,25,18,0,0,0,0,0,0,0,5,55,57,459,620,57,95,70,109,38,75,1,2,-1,-1,-1,-1,-1,-1,100381
阿利给洛斯,1180,323,50,50,0,0,26,4.5,33,19,25,18,0,0,0,0,0,0,0,5,56,58,467,629,58,97,71,110,39,76,1,2,-1,-1,-1,-1,-1,-1,100381
阿米朵,1646,813,40,0,0,60,27,4.5,26,34,29,26,0,0,0,0,0,0,1,1,1,1,51,66,10,14,9,13,6,10,1,2,-1,-1,-1,-1,-1,-1,100908
阿米朵,2661,1271,40,0,0,60,32,4.5,27,42,26,26,0,0,0,0,0,0,4,1,1,1,63,81,14,19,10,14,7,12,1,2,-1,-1,-1,-1,-1,-1,100908
阿米朵,2681,1291,40,0,0,60,38,4.5,30,48,32,30,0,0,0,0,0,0,2,2,1,1,85,107,20,25,14,20,10,15,1,2,655,21,-1,-1,-1,-1,100908
阿伊萨,478,86,50,50,0,0,22,4.5,27,19,37,6,0,0,0,0,0,0,1,0,1,1,36,49,5,8,8,11,0,3,1,2,-1,-1,-1,-1,-1,-1,100390
阿伊萨,1386,86,50,50,0,0,22,4.5,27,19,37,6,0,0,0,0,0,0,1,0,1,1,36,49,5,8,8,11,0,3,1,2,-1,-1,-1,-1,-1,-1,100390
阿伊萨,1387,86,50,50,0,0,22,4.5,27,19,37,6,0,0,0,0,0,0,1,0,88,90,614,846,87,144,147,205,14,68,1,2,-1,-1,-1,-1,-1,-1,100390
艾巴登,21210,21210,0,0,0,100,36,4.5,27,46,19,48,30,30,30,30,30,30,7,3,1,1,78,99,18,23,9,14,16,21,1,2,1035,1034,1058,1070,1073,-1,102050
艾柏瑞,1990,995,0,30,70,0,27,4.5,28,39,23,23,0,0,0,0,0,0,1,1,1,1,52,67,11,15,7,11,5,9,1,2,-1,-1,-1,-1,-1,-1,101450
艾柏瑞,2404,121,0,0,20,80,30,4.5,27,35,21,36,0,0,0,0,0,0,1,1,1,1,58,76,11,16,8,12,10,14,1,2,-1,-1,-1,-1,-1,-1,101723
艾迪希洛,1946,968,50,50,0,0,32,4.5,23,45,16,35,0,0,0,0,0,0,1,1,1,1,58,77,15,20,7,11,10,15,1,2,542,-1,-1,-1,-1,-1,101423
艾恩克,2595,1205,0,90,10,0,26,4.5,31,34,21,24,0,0,0,0,0,0,1,4,1,1,51,66,9,13,6,10,5,9,1,2,-1,-1,-1,-1,-1,-1,101918
艾尔摩米,2147,1119,0,0,10,90,29,4.5,24,43,19,40,0,0,0,0,0,0,1,1,1,1,56,73,13,17,7,11,11,15,1,2,-1,-1,-1,-1,-1,-1,101575
艾尔蛙,1623,790,20,0,0,80,22,4.5,33,33,29,18,0,0,0,0,0,0,1,1,1,1,45,58,8,11,7,10,3,6,1,2,-1,-1,-1,-1,-1,-1,100885
艾克夫,2598,1208,90,10,0,0,26,4.5,30,36,18,22,0,0,0,0,0,0,1,4,1,1,49,65,10,14,6,9,5,8,1,2,-1,-1,-1,-1,-1,-1,101921
艾美,2596,1206,0,0,50,50,26,4.5,29,36,16,25,0,0,0,0,0,0,1,4,1,1,49,64,10,14,5,9,5,9,1,2,-1,-1,-1,-1,-1,-1,101919
艾蜜,1911,961,0,0,30,70,25,4.5,23,23,24,28,0,0,0,0,0,0,0,5,79,79,549,744,91,140,94,143,87,134,1,2,90,-1,-1,-1,-1,79,101280
艾斯坦,2107,1090,0,50,50,0,25,4.5,34,32,31,22,0,0,0,0,0,0,1,1,1,1,54,68,9,13,9,12,5,8,1,2,-1,-1,-1,-1,-1,-1,101557
艾斯卓恩,2617,1227,0,100,0,0,200,9,100,80,80,200,99,99,99,99,99,99,9,9,1,1,1512,1628,212,241,212,241,396,424,1,2,-1,-1,-1,-1,-1,-1,101948
艾茵,2597,1207,30,0,0,70,26,4.5,27,38,20,26,0,0,0,0,0,0,1,4,1,1,48,63,10,14,6,10,6,9,1,2,-1,-1,-1,-1,-1,-1,101920
爱丽儿队的加美,1482,721,0,0,60,40,22,4.5,22,23,19,23,0,0,0,0,0,0,0,1,1,1,32,45,5,8,4,8,4,7,1,2,-1,-1,-1,-1,-1,33,100259
安古力,2599,1209,70,30,0,0,30,4.5,28,38,8,34,0,0,0,0,0,0,5,2,1,1,56,73,12,16,4,8,9,13,1,2,-1,-1,-1,-1,-1,-1,101922
奥卡洛斯,2678,1288,60,40,0,0,38,4.8,31,50,32,28,0,0,0,0,0,0,2,2,1,1,87,109,21,26,15,20,9,15,1,2,655,21,-1,-1,-1,-1,100371
奥卡洛斯,350,301,60,40,0,0,25,4.5,26,29,28,20,0,0,0,0,0,0,5,5,1,1,44,58,8,11,8,11,4,8,1,2,40,-1,-1,-1,-1,-1,100371
奥卡洛斯,1037,301,60,40,0,0,25,4.5,26,29,28,20,0,0,0,0,0,0,5,5,1,1,44,58,8,11,8,11,4,8,1,2,40,-1,-1,-1,-1,-1,100371
奥卡洛斯,1038,301,60,40,0,0,25,4.5,26,29,28,20,0,0,0,0,0,0,5,5,60,63,461,641,87,130,84,128,46,87,1,2,40,-1,-1,-1,-1,-1,100371
奥卡洛斯,1458,301,60,40,0,0,25,4.5,26,29,28,20,0,0,0,0,0,0,5,5,95,105,709,1036,133,211,130,207,72,141,1,2,40,-1,-1,-1,-1,-1,100371
奥卡洛斯,1474,301,60,40,0,0,25,4.5,26,29,28,20,0,0,0,0,0,0,5,5,90,95,674,942,127,192,123,188,68,128,1,2,40,-1,-1,-1,-1,-1,100371
奥卡洛斯,1514,301,60,40,0,0,25,4.5,26,29,28,20,0,0,0,0,0,0,5,5,120,120,886,1177,167,239,162,235,90,160,1,2,40,-1,-1,-1,-1,-1,100371
奥卡帕斯,21008,21008,80,20,0,0,26,6,28,37,32,25,0,0,0,0,0,0,5,5,1,1,52,67,10,14,9,13,5,9,1,2,40,80,-1,-1,-1,-1,120070
奥普萨斯,2004,1009,90,0,0,10,27,4.5,27,35,28,28,0,0,0,0,0,0,1,1,1,1,52,68,10,14,9,12,7,10,1,2,-1,-1,-1,-1,-1,-1,101467
奥斯卡,2607,1217,0,0,70,30,26,4.5,28,36,12,26,0,0,0,0,0,0,2,2,1,1,47,62,10,13,4,8,6,9,1,2,-1,-1,-1,-1,-1,-1,101930
奥特普,2100,1084,90,10,0,0,27,4.5,31,42,25,26,0,0,0,0,0,0,1,1,1,1,57,73,12,16,8,12,6,10,1,2,-1,-1,-1,-1,-1,-1,101551
奥特普,2156,1084,90,10,0,0,27,4.5,31,42,25,26,0,0,0,0,0,0,1,1,50,60,474,712,104,161,70,121,53,99,1,2,-1,-1,-1,-1,-1,-1,101551
奥特普,2688,1298,90,10,0,0,36,4.5,31,45,20,40,0,0,0,0,0,0,1,1,1,1,81,101,18,23,9,15,13,18,1,2,653,-1,-1,-1,-1,-1,101551
巴朵兰恩,352,303,0,20,80,0,27,4.5,23,37,20,25,0,0,0,0,0,0,5,5,1,1,45,61,10,14,6,10,6,9,1,2,-1,-1,-1,-1,-1,-1,100373
巴朵兰恩,1457,303,0,20,80,0,27,4.5,23,37,20,25,0,0,0,0,0,0,5,5,95,105,685,1010,163,243,101,176,92,163,1,2,-1,-1,-1,-1,-1,-1,100373
